Year,Month,CPI
2017,Dec,109.9
2017,Nov,110
2017,Oct,109.2
2017,Sep,108
2017,Aug,107.3
2017,Jul,107.1
2018,Dec,115.8
2018,Nov,116.2
2018,Oct,116.3
2018,Sep,113.9
2018,Aug,113.9
2018,Jul,114.3
2018,Jun,112.6
2018,May,111.7
2018,Apr,111.1
2018,Mar,110
2018,Feb,109.7
2018,Jan,110
2019,Dec,130.45
2019,Nov,130.9
2019,Oct,129.16
2019,Sep,126.86
2019,Aug,125.89
2019,Jul,123.86
2019,Jun,121.63
2019,May,121.05
2019,Apr,120.33
2019,Mar,119.46
2019,Feb,117.12
2019,Jan,116.12
2020,Dec,140.86
2020,Nov,141.83
2020,Oct,140.67
2020,Sep,138.32
2020,Aug,136.23
2020,Jul,136.23
2020,Jun,132.08
2020,May,131.01
2020,Apr,130.59
2020,Mar,131.69
2020,Feb,131.64
2020,Jan,133.03
2021,Dec,158.16
2021,Nov,158.18
2021,Oct,153.61
2021,Sep,150.74
2021,Aug,147.61
2021,Jul,146.76
2021,Jun,144.82
2021,May,145.24
2021,Apr,145.09
2021,Mar,143.61
2021,Feb,143.09
2021,Jan,140.56
2022,Dec,196.86
2022,Nov,195.89
2022,Oct,194.42
2022,Sep,185.68
2022,Aug,187.84
2022,Jul,183.35
2022,Jun,175.71
2022,May,165.23
2022,Apr,164.5
2022,Mar,161.88
2022,Feb,160.61
2022,Jan,158.78
2023,Dec,255.24
2023,Nov,253.15
2023,Oct,246.5
2023,Sep,244.05
2023,Aug,239.27
2023,Jul,235.23
2023,Jun,227.37
2023,May,227.96
2023,Apr,224.41
2023,Mar,219.14
2023,Feb,211.28
2023,Jan,202.53
2024,Dec,265.63
2024,Nov,265.46
2024,Oct,264.17
2024,Sep,260.96
2024,Aug,262.32
2024,Jul,261.32
2024,Jun,255.94
2024,May,254.78
2024,Apr,263.32
2024,Mar,264.46
2024,Feb,260.01
2024,Jan,259.92
